True, 2, False, 1, 1, 1, 1, 2, 2, 1, False, False, False, False, False, 1, True, True, True, 1
True, 2, False, 1, True, 1, 1, True, True, 1, False, False, False, False, False, 1, 2, 3, 2, 1
1, 1, False, 1, 1, 1, 1, 2, 2, 2, 1, 1, False, False, False, False, False, False, False, False
False, False, False, False, False, False, False, 1, 1, 2, True, 1, False, False, False, False, False, 1, 1, 1
1, 1, False, False, False, False, False, 1, True, 2, 1, 2, 2, 2, 1, False, False, 2, True, 2
True, 1, False, False, False, False, 1, 2, 2, 2, 1, 2, True, True, 2, 1, False, 2, True, 2
2, 2, 1, False, False, False, 1, True, 2, 2, True, 2, 2, 3, True, 1, False, 1, 1, 1
1, True, 1, False, False, False, 1, 2, True, 2, 1, 1, False, 1, 1, 1, 1, 1, 2, 1
2, 2, 1, 1, 1, 1, False, 1, 1, 1, False, 1, 2, 2, 2, 1, 2, True, 3, True
True, 1, False, 1, True, 2, 1, False, False, False, False, 1, True, True, 2, True, 2, 1, 3, True
2, 3, 1, 2, 2, True, 1, False, False, False, False, 1, 2, 2, 2, 1, 1, False, 1, 1
True, 2, True, 1, 1, 1, 1, False, False, False, 1, 1, 1, False, False, False, False, False, False, False
2, 3, 2, 1, 1, 1, 1, False, 1, 1, 2, True, 1, False, 1, 1, 1, 1, 1, 1
1, True, 1, False, 2, True, 3, 1, 2, True, 2, 1, 1, False, 1, True, 1, 1, True, 1
1, 1, 2, 1, 4, True, 4, True, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
False, False, 1, True, 3, True, 3, 1, 1, False, False, 1, True, 1, False, False, False, False, False, False
False, False, 1, 2, 3, 3, 2, 2, 1, 1, False, 1, 1, 1, False, False, False, 1, 1, 1
False, False, False, 1, True, 2, True, 2, True, 1, False, False, False, False, False, False, False, 1, True, 1
False, False, False, 1, 2, 3, 3, 3, 2, 1, 1, 1, 1, False, False, False, 1, 2, 2, 1
False, False, False, False, 1, True, 2, True, 1, False, 1, True, 1, False, False, False, 1, True, 1, False
